Oberthur Cosmo Dual 72K,,
Card ATR: 3B:7B:18:00:00:00:31:C0:64:77:E3:03:00:82:90:00,,
AlgTestJClient version; 1.1
AlgTest applet version; 1.1
Package_AID_test; Oberthur_CosmoDual72K_AIDSUPPORT_3B7B1800000031C06477E30300829000.csv

JavaCard support version;2.2.1;
javacardx.apdu.ExtendedLength; 
Extended APDU;no

CPLC; 9f 7f 2a 20 50 50 00 40 41 40 91 00 5f 71 58 00 00 03 18 00 00 19 12 71 58 19 13 71 58 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
CPLC.ICFabricator;2050;unknown
CPLC.ICType;5000
CPLC.OperatingSystemID;4041
CPLC.OperatingSystemReleaseDate;4091
CPLC.OperatingSystemReleaseLevel;005f
CPLC.ICFabricationDate;7158;(Y DDD) date in that year
CPLC.ICSerialNumber;00000318
CPLC.ICBatchIdentifier;0000
CPLC.ICModuleFabricator;1912
CPLC.ICModulePackagingDate;7158
CPLC.ICCManufacturer;1913
CPLC.ICEmbeddingDate;7158
CPLC.ICPrePersonalizer;0000
CPLC.ICPrePersonalizationEquipmentDate;0000
CPLC.ICPrePersonalizationEquipmentID;00000000
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher,supported,time
ALG_DES_CBC_NOPAD,yes,
ALG_DES_CBC_ISO9797_M1,yes,
ALG_DES_CBC_ISO9797_M2,yes,
ALG_DES_CBC_PKCS5,no,
ALG_DES_ECB_NOPAD,yes,
ALG_DES_ECB_ISO9797_M1,yes,
ALG_DES_ECB_ISO9797_M2,yes,
ALG_DES_ECB_PKCS5,no,
ALG_RSA_ISO14888,no,
ALG_RSA_PKCS1,yes,
ALG_RSA_ISO9796,no,
ALG_RSA_NOPAD,yes,
ALG_AES_BLOCK_128_CBC_NOPAD,no,
ALG_AES_BLOCK_128_ECB_NOPAD,no,
ALG_RSA_PKCS1_OAEP,yes,
ALG_KOREAN_SEED_ECB_NOPAD,no,
ALG_KOREAN_SEED_CBC_NOPAD,no,
,,
javacard.crypto.Signature,,
ALG_DES_MAC4_NOPAD,yes,
ALG_DES_MAC8_NOPAD,yes,
ALG_DES_MAC4_ISO9797_M1,yes,
ALG_DES_MAC8_ISO9797_M1,yes,
ALG_DES_MAC4_ISO9797_M2,yes,
ALG_DES_MAC8_ISO9797_M2,yes,
ALG_DES_MAC4_PKCS5,no,
ALG_DES_MAC8_PKCS5,no,
ALG_RSA_SHA_ISO9796,yes,
ALG_RSA_SHA_PKCS1,yes,
ALG_RSA_MD5_PKCS1,yes,
ALG_RSA_RIPEMD160_ISO9796,no,
ALG_RSA_RIPEMD160_PKCS1,no,
ALG_DSA_SHA,no,
ALG_RSA_SHA_RFC2409,no,
ALG_RSA_MD5_RFC2409,no,
ALG_ECDSA_SHA,no,
ALG_AES_MAC_128_NOPAD,no,
ALG_DES_MAC4_ISO9797_1_M2_ALG3,yes,
ALG_DES_MAC8_ISO9797_1_M2_ALG3,yes,
ALG_RSA_SHA_PKCS1_PSS,yes,
ALG_RSA_MD5_PKCS1_PSS,yes,
ALG_RSA_RIPEMD160_PKCS1_PSS,no,
ALG_HMAC_SHA1,no,
ALG_HMAC_SHA_256,no,
ALG_HMAC_SHA_384,no,
ALG_HMAC_SHA_512,no,
ALG_HMAC_MD5,no,
ALG_HMAC_RIPEMD160,no,
ALG_RSA_SHA_ISO9796_MR,no,
ALG_RSA_RIPEMD160_ISO9796_MR,no,
ALG_SEED_MAC_NOPAD,no,
,,
javacard.security.MessageDigest,,
ALG_SHA,yes,
ALG_MD5,yes,
ALG_RIPEMD160,no,
ALG_SHA_256,no,
ALG_SHA_384,no,
ALG_SHA_512,no,
,,
javacard.security.RandomData,,
ALG_PSEUDO_RANDOM,yes,
ALG_SECURE_RANDOM,yes,
,,
javacard.security.KeyBuilder,,
TYPE_DES_TRANSIENT_RESET,yes,
TYPE_DES_TRANSIENT_DESELECT,yes,
TYPE_DES LENGTH_DES,yes,
TYPE_DES LENGTH_DES3_2KEY,yes,
TYPE_DES LENGTH_DES3_3KEY,yes,
TYPE_AES_TRANSIENT_RESET,no,
TYPE_AES_TRANSIENT_DESELECT,no,
TYPE_AES LENGTH_AES_128,no,
TYPE_AES LENGTH_AES_192,no,
TYPE_AES LENGTH_AES_256,no,
TYPE_RSA_PUBLIC LENGTH_RSA_512,yes,
TYPE_RSA_PUBLIC LENGTH_RSA_736,yes,
TYPE_RSA_PUBLIC LENGTH_RSA_768,yes,
TYPE_RSA_PUBLIC LENGTH_RSA_896,yes,
TYPE_RSA_PUBLIC LENGTH_RSA_1024,yes,
TYPE_RSA_PUBLIC LENGTH_RSA_1280,yes,
TYPE_RSA_PUBLIC LENGTH_RSA_1536,yes,
TYPE_RSA_PUBLIC LENGTH_RSA_1984,yes,
TYPE_RSA_PUBLIC LENGTH_RSA_2048,yes,
TYPE_RSA_PUBLIC LENGTH_RSA_3072;no;
TYPE_RSA_PUBLIC LENGTH_RSA_4096;no;
TYPE_RSA_PRIVATE LENGTH_RSA_512,yes,
TYPE_RSA_PRIVATE LENGTH_RSA_736,yes,
TYPE_RSA_PRIVATE LENGTH_RSA_768,yes,
TYPE_RSA_PRIVATE LENGTH_RSA_896,yes,
TYPE_RSA_PRIVATE LENGTH_RSA_1024,yes,
TYPE_RSA_PRIVATE LENGTH_RSA_1280,yes,
TYPE_RSA_PRIVATE LENGTH_RSA_1536,yes,
TYPE_RSA_PRIVATE LENGTH_RSA_1984,yes,
TYPE_RSA_PRIVATE LENGTH_RSA_2048,yes,
TYPE_RSA_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_PRIVATE LENGTH_RSA_4096;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512,yes,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736,yes,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768,yes,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896,yes,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1024,yes,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1280,yes,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1536,yes,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1984,yes,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_2048,yes,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_4096;no;
TYPE_DSA_PRIVATE LENGTH_DSA_512,no,
TYPE_DSA_PRIVATE LENGTH_DSA_768,no,
TYPE_DSA_PRIVATE LENGTH_DSA_1024,no,
TYPE_DSA_PUBLIC LENGTH_DSA_512,no,
TYPE_DSA_PUBLIC LENGTH_DSA_768,no,
TYPE_DSA_PUBLIC LENGTH_DSA_1024,no,
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_113,no,
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_131,no,
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_163,no,
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_193,no,
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_112,no,
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_128,no,
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_160,no,
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_192,no,
TYPE_KOREAN_SEED_TRANSIENT_RESET,no,
TYPE_KOREAN_SEED_TRANSIENT_DESELECT,no,
TYPE_KOREAN_SEED LENGTH_KOREAN_SEED_128,no,
TYPE_HMAC_TRANSIENT_RESET,no,
TYPE_HMAC_TRANSIENT_DESELECT,no,
TYPE_HMAC LENGTH_HMAC_SHA_1_BLOCK_64,no,
TYPE_HMAC LENGTH_HMAC_SHA_256_BLOCK_64,no,
TYPE_HMAC LENGTH_HMAC_SHA_384_BLOCK_64,no,
TYPE_HMAC LENGTH_HMAC_SHA_512_BLOCK_64,no,
,,
javacard.security.KeyPair ALG_RSA on-card generation,,
ALG_RSA LENGTH_RSA_512,no,
ALG_RSA LENGTH_RSA_736,no,
ALG_RSA LENGTH_RSA_768,no,
ALG_RSA LENGTH_RSA_896,no,
ALG_RSA LENGTH_RSA_1024,no,
ALG_RSA LENGTH_RSA_1280,no,
ALG_RSA LENGTH_RSA_1536,no,
ALG_RSA LENGTH_RSA_1984,no,
ALG_RSA LENGTH_RSA_2048,no,
ALG_RSA LENGTH_RSA_3072;no;
ALG_RSA LENGTH_RSA_4096;no;

,,
javacard.security.KeyPair ALG_RSA_CRT on-card generation,,
ALG_RSA_CRT LENGTH_RSA_512,yes,3.079
ALG_RSA_CRT LENGTH_RSA_736,yes,
ALG_RSA_CRT LENGTH_RSA_768,yes,5.015
ALG_RSA_CRT LENGTH_RSA_896,yes,4.125
ALG_RSA_CRT LENGTH_RSA_1024,yes,8.141
ALG_RSA_CRT LENGTH_RSA_1280,yes,9.921
ALG_RSA_CRT LENGTH_RSA_1536,yes,25.016
ALG_RSA_CRT LENGTH_RSA_1984,yes,36.719
ALG_RSA_CRT LENGTH_RSA_2048,yes,41.781
ALG_RSA_CRT LENGTH_RSA_3072;no;
ALG_RSA_CRT LENGTH_RSA_4096;no;

,,
javacard.security.KeyPair ALG_DSA on-card generation,,
ALG_DSA LENGTH_DSA_512,no,
ALG_DSA LENGTH_DSA_768,no,
ALG_DSA LENGTH_DSA_1024,no,
,,
javacard.security.KeyPair ALG_EC_F2M on-card generation,,
ALG_EC_F2M LENGTH_EC_F2M_113,no,
ALG_EC_F2M LENGTH_EC_F2M_131,no,
ALG_EC_F2M LENGTH_EC_F2M_163,no,
ALG_EC_F2M LENGTH_EC_F2M_193,no,
,,
javacard.security.KeyPair ALG_EC_FP on-card generation,,
ALG_EC_FP LENGTH_EC_FP_112,no,
ALG_EC_FP LENGTH_EC_FP_128,no,
ALG_EC_FP LENGTH_EC_FP_160,no,
ALG_EC_FP LENGTH_EC_FP_192,no,

javacard\.security\.KeyAgreement
ALG_EC_SVDP_DH/ALG_EC_SVDP_DH_KDF;no;
ALG_EC_SVDP_DHC/ALG_EC_SVDP_DHC_KDF;no;

javacard.security.Checksum;
ALG_ISO3309_CRC16;no;
ALG_ISO3309_CRC32;no;